signal_id,scenario_id,signal_prob,cond_prob,joint_prob,realized_cost,first_stage_realized_cost,second_stage_cost
CALM,T0,0.3,0.8281203713596834,0.248436111407905,109540.0,99360.0,10180.0
CALM,T10,0.3,0.1434540777842789,0.04303622333528367,118640.00000000001,108460.00000000001,10180.0
CALM,T25,0.3,0.02529560730823622,0.007588682192470865,132290.0,122110.0,10180.0
CALM,T35,0.3,0.003129943547801485,0.0009389830643404455,141390.0,131210.0,10180.0
WARN10,T0,0.2,0.2112911120458879,0.042258222409177586,109540.0,99360.0,10180.0
WARN10,T10,0.2,0.6079504057951606,0.12159008115903212,118640.00000000001,108460.00000000001,10180.0
WARN10,T25,0.2,0.1559770837091987,0.03119541674183974,132290.0,122110.0,10180.0
WARN10,T35,0.2,0.02478139844975285,0.00495627968995057,141390.0,131210.0,10180.0
WARN25,T0,0.3,0.0321532805342345,0.00964598416027035,109540.0,99360.0,10180.0
WARN25,T10,0.3,0.0792312611596298,0.02376937834788894,118640.00000000001,108460.00000000001,10180.0
WARN25,T25,0.3,0.7495602644310898,0.22486807932932693,132290.0,122110.0,10180.0
WARN25,T35,0.3,0.1390551938750459,0.04171655816251377,141390.0,131210.0,10180.0
ESC35,T0,0.2,0.03351357528831003,0.006702715057662007,109540.0,99060.0,10480.0
ESC35,T10,0.2,0.06241508780649202,0.012483017561298404,118640.00000000001,108160.00000000001,10480.0
ESC35,T25,0.2,0.387967985978568,0.07759359719571361,132290.0,121810.0,10480.0
ESC35,T35,0.2,0.51610335092663,0.10322067018532599,141390.0,130910.0,10480.0
