warehouse_id,zone_id,signal_id,scenario_id,y
MI_WH,MIDWEST,CALM,T0,500.0
MI_WH,MIDWEST,CALM,T10,500.0
MI_WH,MIDWEST,CALM,T25,500.0
MI_WH,MIDWEST,CALM,T35,500.0
MI_WH,MIDWEST,WARN10,T0,500.0
MI_WH,MIDWEST,WARN10,T10,500.0
MI_WH,MIDWEST,WARN10,T25,500.0
MI_WH,MIDWEST,WARN10,T35,500.0
MI_WH,MIDWEST,WARN25,T0,500.0
MI_WH,MIDWEST,WARN25,T10,500.0
MI_WH,MIDWEST,WARN25,T25,500.0
MI_WH,MIDWEST,WARN25,T35,500.0
MI_WH,MIDWEST,ESC35,T0,500.0
MI_WH,MIDWEST,ESC35,T10,500.0
MI_WH,MIDWEST,ESC35,T25,500.0
MI_WH,MIDWEST,ESC35,T35,500.0
MI_WH,NORTHEAST,CALM,T0,40.0
MI_WH,NORTHEAST,CALM,T10,40.0
MI_WH,NORTHEAST,CALM,T25,40.0
MI_WH,NORTHEAST,CALM,T35,40.0
MI_WH,NORTHEAST,WARN10,T0,40.0
MI_WH,NORTHEAST,WARN10,T10,40.0
MI_WH,NORTHEAST,WARN10,T25,40.0
MI_WH,NORTHEAST,WARN10,T35,40.0
MI_WH,NORTHEAST,WARN25,T0,40.0
MI_WH,NORTHEAST,WARN25,T10,40.0
MI_WH,NORTHEAST,WARN25,T25,40.0
MI_WH,NORTHEAST,WARN25,T35,40.0
MI_WH,NORTHEAST,ESC35,T0,340.0
MI_WH,NORTHEAST,ESC35,T10,340.0
MI_WH,NORTHEAST,ESC35,T25,340.0
MI_WH,NORTHEAST,ESC35,T35,340.0
OH_WH,NORTHEAST,CALM,T0,300.0
OH_WH,NORTHEAST,CALM,T10,300.0
OH_WH,NORTHEAST,CALM,T25,300.0
OH_WH,NORTHEAST,CALM,T35,300.0
OH_WH,NORTHEAST,WARN10,T0,300.0
OH_WH,NORTHEAST,WARN10,T10,300.0
OH_WH,NORTHEAST,WARN10,T25,300.0
OH_WH,NORTHEAST,WARN10,T35,300.0
OH_WH,NORTHEAST,WARN25,T0,300.0
OH_WH,NORTHEAST,WARN25,T10,300.0
OH_WH,NORTHEAST,WARN25,T25,300.0
OH_WH,NORTHEAST,WARN25,T35,300.0
OH_WH,SOUTHEAST,CALM,T0,300.0
OH_WH,SOUTHEAST,CALM,T10,300.0
OH_WH,SOUTHEAST,CALM,T25,300.0
OH_WH,SOUTHEAST,CALM,T35,300.0
OH_WH,SOUTHEAST,WARN10,T0,300.0
OH_WH,SOUTHEAST,WARN10,T10,300.0
OH_WH,SOUTHEAST,WARN10,T25,300.0
OH_WH,SOUTHEAST,WARN10,T35,300.0
OH_WH,SOUTHEAST,WARN25,T0,300.0
OH_WH,SOUTHEAST,WARN25,T10,300.0
OH_WH,SOUTHEAST,WARN25,T25,300.0
OH_WH,SOUTHEAST,WARN25,T35,300.0
OH_WH,SOUTHEAST,ESC35,T0,300.0
OH_WH,SOUTHEAST,ESC35,T10,300.0
OH_WH,SOUTHEAST,ESC35,T25,300.0
OH_WH,SOUTHEAST,ESC35,T35,300.0
PA_WH,NORTHEAST,CALM,T0,80.0
PA_WH,NORTHEAST,CALM,T10,80.0
PA_WH,NORTHEAST,CALM,T25,80.0
PA_WH,NORTHEAST,CALM,T35,80.0
PA_WH,NORTHEAST,WARN10,T0,80.0
PA_WH,NORTHEAST,WARN10,T10,80.0
PA_WH,NORTHEAST,WARN10,T25,80.0
PA_WH,NORTHEAST,WARN10,T35,80.0
PA_WH,NORTHEAST,WARN25,T0,80.0
PA_WH,NORTHEAST,WARN25,T10,80.0
PA_WH,NORTHEAST,WARN25,T25,80.0
PA_WH,NORTHEAST,WARN25,T35,80.0
PA_WH,NORTHEAST,ESC35,T0,80.0
PA_WH,NORTHEAST,ESC35,T10,80.0
PA_WH,NORTHEAST,ESC35,T25,80.0
PA_WH,NORTHEAST,ESC35,T35,80.0
